Country,City,Latitude,Longitude,Date,Max Temperature,Min Temperature,Wind Speed,Humidity,Cloudiness
IR,bushehr,28.9684,50.8385,1639872882,22.77,22.77,6.94,71,100
SB,honiara,-9.4333,159.95,1639872971,28.47,28.47,0.43,78,98
MG,ambilobe,-13.2,49.05,1639872971,24.52,24.52,0.41,89,50
BR,sao jose da coroa grande,-8.8978,-35.1478,1639872971,26.08,26.08,4.54,78,39
ID,sorong,-0.8833,131.25,1639872972,28.32,28.32,2.62,78,62
MM,dawei,14.0833,98.2,1639872972,23.05,23.05,4.84,62,65
RU,leningradskiy,69.3833,178.4167,1639872972,-28.96,-28.96,3.44,96,99
IN,nagar,27.4333,77.1,1639872972,6.86,6.86,2.54,22,0
RU,mirnyy,62.5353,113.9611,1639872973,-41.21,-41.21,1.44,100,97
CN,jiaohe,43.7286,127.3447,1639872973,-15.89,-15.89,1.59,96,83
PT,lagoa,39.05,-27.9833,1639872973,15.16,15.16,11.12,87,100
BO,urubicha,-15.3833,-62.95,1639872973,24.14,24.14,1.32,87,95
BR,bonito,-21.1211,-56.4819,1639872974,24.64,24.64,1.4,90,99
CN,wuwei,37.9281,102.6414,1639872974,-5.49,-5.49,2.01,47,81
IT,policoro,40.2115,16.6726,1639872974,7.72,5.15,5.91,69,31
EC,puerto baquerizo moreno,-0.9,-89.6,1639872974,20.73,20.73,4.53,89,79
AR,necochea,-38.5473,-58.7368,1639872975,25.58,25.58,8.16,35,76
IT,forio,40.7342,13.8646,1639872975,9.9,4.72,5.21,54,2
GB,brae,60.3964,-1.353,1639872975,8.95,8.95,7.06,75,100
US,salinas,36.6777,-121.6555,1639872976,15.16,9.67,3.6,62,1
TR,kastamonu,41.5,33.6667,1639872976,-3.2,-3.2,0.97,98,99
RU,troitsko-pechorsk,62.7084,56.1964,1639872977,-18.09,-18.09,2.89,97,100
RU,bikin,46.8161,134.26,1639872977,-23.43,-23.43,1.59,99,78
CN,liuzhou,24.3126,109.3892,1639872961,7.63,7.63,2.83,53,1
PE,huarmey,-10.0681,-78.1522,1639872978,20.29,20.29,3.8,84,55
GR,karpathos,35.507,27.2132,1639872978,9.98,9.98,9.77,81,76
AU,ulladulla,-35.35,150.4667,1639872979,31.04,29.32,3.8,45,100
US,cortez,37.3489,-108.5859,1639872979,-1.58,-2.49,1.54,62,1
TD,beinamar,8.6698,15.3813,1639872979,21.24,21.24,2.21,32,24
PH,san policarpo,12.1791,125.5072,1639872879,27.28,27.28,4.46,84,80
CN,erdaojiang,41.7764,126.0319,1639872840,-15.08,-15.08,1.02,85,77
BB,oistins,13.0667,-59.5333,1639872980,26.05,26.05,9.77,73,20
MA,fez,34.0372,-4.9998,1639872980,9.06,6.14,2.57,75,0
ZA,allanridge,-27.7543,26.6438,1639872980,13.67,13.67,2.85,95,100
CN,wangqing,43.3218,129.7634,1639872980,-11.87,-11.87,4.19,75,41
GB,margate,51.3813,1.3862,1639872981,7.84,4.92,0.45,96,100
IQ,baghdad,33.3406,44.4009,1639872981,9.95,9.95,2.06,71,0
RU,anadyr,64.75,177.4833,1639872981,-10.72,-11.11,24.59,92,90
CN,youhao,47.8667,128.8333,1639872981,-21.3,-21.3,1.07,96,93
GR,platanos,37.6667,21.6167,1639872981,7.38,4.76,2.74,74,6
AR,san rafael,-34.6177,-68.3301,1639872982,27.14,27.14,7.51,45,50
CN,yishui,35.7847,118.6281,1639872739,-0.74,-0.74,1.79,45,0
AU,byron bay,-28.65,153.6167,1639872705,28.26,26.97,5.58,55,75
PE,yauya,-8.9833,-77.3,1639872983,13.82,13.82,1.18,66,88
ID,kroya,-7.6331,109.2461,1639872983,30.11,30.11,1.19,86,100
IS,vestmannaeyjar,63.4427,-20.2734,1639872983,7.8,7.8,11.08,89,100
CI,tabou,4.423,-7.3528,1639872984,26.93,26.93,3.77,82,38
BR,santarem,-2.4431,-54.7083,1639872984,27.07,27.07,2.57,94,75
PE,ayna,-12.65,-73.9167,1639872984,17.43,17.43,0.6,90,71
IL,gat,31.61,34.7642,1639872984,13.55,11.01,5.0,25,3
RU,ostrovnoy,68.0531,39.5131,1639872985,-8.06,-8.06,8.02,88,100
UA,horodnya,51.8909,31.5974,1639872985,0.67,0.67,6.99,96,100
VN,dong xoai,11.5333,106.9167,1639872743,23.82,23.82,4.22,68,98
US,ewa beach,21.3156,-158.0072,1639872985,28.97,24.97,6.71,55,40
RU,klyuchi,52.2667,79.1667,1639872986,-7.26,-7.26,3.51,95,100
GF,sinnamary,5.3833,-52.95,1639872986,25.55,25.55,3.33,88,38
JP,nobeoka,32.5833,131.6667,1639872986,4.31,4.31,1.55,65,18
LY,yafran,32.0633,12.5286,1639872986,7.49,7.49,4.21,89,62
RU,palana,59.1167,159.9667,1639872986,-17.72,-17.72,2.51,95,100
SY,yabrud,33.9674,36.6574,1639872987,-0.19,-0.19,8.0,89,97
RU,urengoy,65.9667,78.3667,1639872987,-42.12,-42.12,1.08,100,63
RU,dzhubga,44.3211,38.7039,1639872988,3.56,3.56,2.89,74,100
MZ,pemba,-12.974,40.5178,1639872988,24.88,24.88,1.62,86,67
GL,nuuk,64.1835,-51.7216,1639872989,-0.66,-0.66,0.51,59,75
SA,najran,17.4924,44.1277,1639872867,14.58,14.58,1.07,34,13
CA,inuvik,68.3499,-133.7218,1639872989,-19.52,-24.98,3.09,77,75
TO,neiafu,-18.65,-173.9833,1639872989,30.38,30.38,3.6,74,40
CN,lianzhou,24.7811,112.3825,1639872990,5.94,5.94,1.44,50,1
BR,mazagao,-0.115,-51.2894,1639872990,29.03,29.03,3.01,81,95
LR,buchanan,5.8808,-10.0467,1639872936,24.98,24.98,2.6,84,37
CD,mangai,-4.05,19.5333,1639872990,21.18,21.18,0.64,95,82
ID,luwuk,-0.9516,122.7875,1639872990,28.77,28.77,0.49,72,91
GB,liverpool,53.4106,-2.9779,1639872938,5.42,3.21,1.79,96,90
SB,auki,-8.7676,160.7034,1639872991,28.41,28.41,1.01,74,97
KZ,shetpe,44.1667,52.1167,1639872991,3.51,3.51,1.57,89,100
JP,katsuura,35.1333,140.3,1639872845,8.99,3.02,6.0,61,86
KM,moroni,-11.7022,43.2551,1639872992,25.77,25.77,2.05,75,50
LR,monrovia,6.3005,-10.7969,1639872992,24.87,24.87,2.65,84,5
US,nome,64.5011,-165.4064,1639872966,-8.96,-8.96,3.09,86,90
CD,buta,2.7858,24.73,1639872992,23.43,23.43,0.75,73,88
RU,udimskiy,61.1417,45.9144,1639872993,-15.04,-15.04,1.7,97,100
BR,balsas,-7.5325,-46.0356,1639872780,24.82,24.82,1.99,85,100
US,sierra vista,31.5545,-110.3037,1639872844,13.44,8.9,1.79,40,75
CL,taltal,-25.4,-70.4833,1639872993,19.41,19.41,2.26,76,100
US,magnolia,33.2671,-93.2393,1639872994,10.82,7.63,4.66,79,100
TC,cockburn town,21.4612,-71.1419,1639872994,26.6,26.6,10.39,68,31
BR,candido mendes,-1.4467,-45.7167,1639872995,24.81,24.81,1.79,93,78
CL,coquimbo,-29.9533,-71.3436,1639872995,17.34,17.34,2.28,79,7
CA,the pas,53.8251,-101.2541,1639872995,-21.99,-21.99,5.66,84,75
CN,korla,41.7597,86.1469,1639872996,-7.05,-7.05,1.6,64,1
NO,rognan,67.0953,15.3878,1639872996,4.08,3.2,8.88,91,100
CF,obo,5.3998,26.4869,1639872903,23.29,23.29,2.09,36,84
GF,cayenne,4.9333,-52.3333,1639872996,27.27,26.02,1.34,84,40
RU,imeni poliny osipenko,52.4201,136.4853,1639872997,-34.92,-34.92,1.33,100,83
IT,siderno,38.2779,16.302,1639872997,11.58,8.94,4.6,66,3
KZ,zhezkazgan,47.8043,67.7144,1639872997,-8.01,-8.01,3.0,93,75
RU,deputatskiy,69.3,139.9,1639872997,-32.33,-32.33,0.86,99,100
ID,ruteng,-8.6136,120.4721,1639872998,21.37,21.37,0.16,79,100
FR,biarritz,43.4801,-1.5556,1639872998,9.25,-0.15,2.57,93,0
FI,huittinen,61.1833,22.7,1639872998,1.51,0.79,5.19,83,50
US,kahului,20.8947,-156.47,1639872998,28.01,24.82,9.26,67,20
RU,zelenogorskiy,55.0333,87.0,1639872999,-7.71,-7.71,1.19,98,100
JP,shingu,33.7333,135.9833,1639872727,6.27,6.27,4.45,56,5
US,hibbing,47.4272,-92.9377,1639872999,-12.22,-13.57,1.54,49,90
BO,villazon,-22.0866,-65.5942,1639872999,14.19,14.19,6.13,53,47
IS,akureyri,65.6835,-18.0878,1639873000,0.96,0.96,1.54,100,90
AE,abu dhabi,24.4667,54.3667,1639872910,20.01,19.06,2.06,68,0
GR,lithakia,37.7167,20.8333,1639873000,6.44,5.65,9.72,55,39
AF,herat,34.5,62.0,1639873001,9.13,9.13,1.83,22,100
BR,santa maria,-29.6842,-53.8069,1639873001,21.61,21.61,6.17,78,20
RU,aksarka,66.5606,67.7975,1639873002,-38.6,-38.6,1.11,100,48
PH,ligayan,4.6533,119.4706,1639873002,27.3,27.3,0.39,77,89
AR,santa fe,-31.6333,-60.7,1639873002,30.56,29.43,0.89,40,0
PE,chivay,-15.6383,-71.6011,1639873002,9.94,9.94,3.71,54,99
ZW,beitbridge,-22.2167,30.0,1639873003,17.28,17.28,3.35,77,100
PE,lagunas,-5.2269,-75.6753,1639873003,26.57,26.57,1.25,74,97
US,santa ana,33.7456,-117.8678,1639873003,21.82,14.25,0.45,44,20
AR,tucuman,-26.8241,-65.2226,1639873003,26.0,26.0,1.03,78,0
AR,catamarca,-28.4696,-65.7852,1639873004,28.91,27.02,7.59,45,95
TR,ankara,39.9199,32.8543,1639872914,1.78,0.75,3.09,84,90
PH,canjulao,9.6605,124.3532,1639873004,26.86,26.86,4.4,85,99
ET,yabelo,4.8833,38.0833,1639873004,14.75,14.75,2.87,82,100
BW,tsabong,-26.0217,22.401,1639873005,18.18,18.18,7.17,73,48
CA,flin flon,54.7682,-101.865,1639873005,-22.09,-22.09,2.57,77,90
CA,pangnirtung,66.1451,-65.7125,1639873005,-4.22,-4.22,5.57,76,100
RU,teya,60.3778,92.6267,1639873006,-35.83,-35.83,1.26,99,55
ZM,petauke,-14.2426,31.3253,1639873006,18.83,18.83,2.95,93,100
NC,moindou,-21.6924,165.677,1639873006,29.97,29.97,4.37,59,2
US,glendive,47.1053,-104.7125,1639873006,-7.65,-12.21,2.57,78,90
BR,pocone,-16.2567,-56.6228,1639873006,24.41,24.41,2.11,93,100
